Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
"Eat Just, Inc.",Aggregator,16,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7368,https://www.linkedin.com/jobs/search/?currentJobId=3631023555&f_C=18439980&geoId=92000000&originToLandingJobPostings=3631023555,,Works,,https://altproteincareers.com/jobs?q=eat+just&category=&posted_at=&location=&location_id=3&search_radius=,Should also add GOOD Meat as separate aggregator,https://www.linkedin.com/company/eat-just,https://www.ju.st/careers,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=C36AE705594F59D987E37A06068FEC02&session_nonce=392e0df40776381b602279806de0ab11
Hooray Foods,Employer,,,,,,,,,,,,
Change Foods,Employer,,,,,,,,,,,,
Mozza,Employer,,,,,,,,,,,,
North Carolina Agricultural & Technical State University,Employer,,,,,,,,,,,,
Reel Foods,Aggregator,17,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7366,https://www.linkedin.com/jobs/search/?currentJobId=3465404249&f_C=89883314&geoId=92000000&originToLandingJobPostings=3465404249,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs on JBoard but 1 job listed on Company website",https://altproteincareers.com/jobs?q=reel+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.reelfoods.co/careers,,
Sempera Organics,Employer,,,,,,,,,,,,
Planted Foods AG,Employer,1,,,https://careers.eatplanted.com/?_gl=1*l4xfpj*_gcl_au*MTQ4Njg3NDMxNS4xNzAwMTY2NDM5,,,,,,https://careers.eatplanted.com,,
Rise Brewing Co,Employer,,,,,,,,,,,,
Rebbl,Employer,,,,,,,,,,,,
Genuine Taste,Employer,,,,,,,,,,,,
Cargill,Employer,,,,,,,,,,,,
Tomorrow Farms,Employer,,,,,,,,,,,,
GoodPop,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7589,https://goodpop.isolvedhire.com/jobs/,,Works,Missing General Application,https://altproteincareers.com/jobs?q=goodpop&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""goodpop.isolvedhire.com"" instead of Goodpop",https://goodpop.isolvedhire.com,https://goodpop.com/about/careers/,
Ripple Foods,Aggregator,18,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7424,https://www.linkedin.com/jobs/search/?currentJobId=3633066282&f_C=7787675&geoId=92000000&originToLandingJobPostings=3633066282,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=ripple+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://shop.ripplefoods.com/,,
Clif,Employer,,,,,,,,,,,,
"Good Karma Foods, Inc.",Aggregator,19,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7139,https://www.linkedin.com/jobs/search/?currentJobId=3608626510&f_C=6574521&geoId=92000000&originToLandingJobPostings=3608626510,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=karma&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/good-karma-foods-inc-,https://goodkarmafoods.com/pages/about-us,
Balletic Foods,Employer,,,,,,,,,,,,
Danone,Employer,,,,,,,,,,,,
Purple Carrot,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7438,https://apply.workable.com/thepurplecarrot/,,Missing jobs on JBoard,JBoard shows 2 jobs but 4 different jobs listed on Company's website,https://altproteincareers.com/jobs?q=purple+carrot&category=&posted_at=&location=&location_id=&search_radius=,,http://www.purplecarrot.com,,
Pow Bio,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7433,https://pow-bio.breezy.hr/,Job website appears to have changed,Missing General Interest ,Missing General Interest ,https://altproteincareers.com/jobs?q=pow+bio&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""pow-bio.breezy.hr"" instead of Pow Bio",https://www.pow.bio/,https://boards.greenhouse.io/powbio,
Triplebar,Aggregator,,11/7/2023,https://app.jboard.io/board/4328/importer/auto-importer/7432,https://boards.greenhouse.io/triplebar,,Works,"General interest job showing up as expired on jboard, but is still live on employer's website",https://altproteincareers.com/jobs?q=triplebar&category=&posted_at=&location=&location_id=&search_radius=,,https://triplebar.com/careers/,,
Molecular Devices,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7427,https://jobs.danaher.com/global/en/molecular-devices-north-america,,JBoard showing expired jobs,JBoard shows 3 jobs but only 1 job listed on Company's website,https://altproteincareers.com/jobs?q=molecular+devices&category=&posted_at=&location=&location_id=&search_radius=,,https://jobs.danaher.com/global/en,,
Kite Hill,Aggregator,20,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7029,https://www.linkedin.com/jobs/search/?currentJobId=3626158913&f_C=10693030&geoId=92000000&originToLandingJobPostings=3626158913%2C3599932510%2C3620829304%2C3625338341,,JBoard showing expired jobs and missing job,JBoard shows 7 jobs but only 2 active on LinkedIn and missing 1 job listed on LinkedIn,https://altproteincareers.com/jobs?q=kite+hill&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/kite-hill,https://www.kite-hill.com/about-us/,
Outstanding Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7420,https://www.linkedin.com/jobs/search/?currentJobId=3734471771&f_C=18081852&geoId=103644278&location=United%20States&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""
No jobs",https://altproteincareers.com/jobs?q=outstanding+foods&category=&posted_at=&location=&location_id=&search_radius=,Other companies appear in APC search,https://outstandingfoods.com/,https://www.linkedin.com/company/outstandingfoods/jobs/,
Harmless Harvest,Aggregator,22,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7415,https://www.linkedin.com/jobs/search/?currentJobId=3643380443&f_C=2960331&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3643380443%2C3660495155%2C3559058056%2C3720352654,,Works,,https://altproteincareers.com/jobs?q=harmless+harvest&category=&posted_at=&location=&location_id=&search_radius=,Works but Company's websie is different than LinkedIn,https://harmlessharvest.com/,https://apply.workable.com/harmlessharvest/,
High Time Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7365,https://www.linkedin.com/jobs/search/?currentJobId=3734471771&f_C=77099917&geoId=103644278&location=United%20States&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=high+time+foods&category=&posted_at=&location=&location_id=&search_radius=,Other companies appear in APC search,http://www.hightimefoods.com,https://www.linkedin.com/company/high-time-foods/jobs/,
Tiamat Sciences Corp.,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7361,https://tiamat-sciences-corp.breezy.hr/,,Works,Missing Spontaneous Application,https://altproteincareers.com/jobs?q=tiamat&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""tiamat-sciences-corp..breezy.hr"" instead of Tiamat Sciences",https://tiamat-sciences-corp.breezy.hr/,,
Nobell Foods,Aggregator,21,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7360,https://www.nobellfoods.com/pages/openings,,Missing jobs on JBoard,JBoard has 4 jobs but 7 jobs listed on Comapany's website,https://altproteincareers.com/jobs?q=nobell&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""www.nobellfoods.comr"" instead of Nobell Foods",https://www.nobellfoods.com/pages/openings,,
Geltor,Employer,,,,,,,,,,,,
New School Foods,Aggregator,23,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7151,https://www.linkedin.com/jobs/search/?currentJobId=3696160074&f_C=79327101&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3696160074%2C3696158754%2C3736960115,,Missing jobs on JBoard,JBoard has 1 jobs but 3 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=new+school+foods&category=&posted_at=&location=&location_id=&search_radius=,,newschoolfoods.co,,
Aleph Farms,Employer,,,,,,,,,,,,
VegTech Invest,Employer,,,,,,,,,,,,
Pynch,Employer,,,,,,,,,,,,
CULT Food Science,Employer,,,,,,,,,,,,
Atlantic Fish Co,Employer,,,,,,,,,,,,
Hyf̩ Foods,Employer,,,,,,,,,,,,
Xelliss,Employer,,,,,,,,,,,,
DryGro,Employer,,,,,,,,,,,,
Veganezzy,Employer,,,,,,,,,,,,
ProVeg,Employer,,,,,,,,,,,,
Amazi,Employer,,,,,,,,,,,,
"MycoTechnology, Inc.",Aggregator,24,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7140,https://www.linkedin.com/jobs/search/?currentJobId=3591991789&f_C=3500342&geoId=92000000&originToLandingJobPostings=3591991789%2C3531425149%2C3590327802%2C3606648053%2C3601412288%2C3590328043%2C3592578854%2C3610846696%2C3571776635,LinkedIn job listing link does not seem to work,Missing jobs on JBoard,JBoard shows 1 job but 3 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=mycotechnology&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/myco-technology-inc-,https://www.mycoiq.com/contact-us/,
Urban Remedy Inc.,Aggregator,25,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7161,https://www.linkedin.com/jobs/search/?currentJobId=3595874686&f_C=5015573&geoId=92000000&originToLandingJobPostings=3595874686%2C3605762638%2C3586885951%2C3618524280%2C3618518885,LinkedIn job listing link does not seem to work,Missing jobs on JBoard,JBoard shows 2 job but 7 jobs listed on Company's website,https://altproteincareers.com/jobs?q=urban&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/urban-remedy-inc-,https://urbanremedy.com/careers/,
Siete Family Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7158,https://www.linkedin.com/jobs/search/?currentJobId=3620873902&f_C=10416556&geoId=92000000&originToLandingJobPostings=3620873902%2C3628355098%2C3627159164%2C3630374337%2C3632909068%2C3610024717,,JBoard showing expired job,JBoard shows 6 jobs but only 5 active jobs on LinkedIn,https://altproteincareers.com/jobs?q=siete&category=&posted_at=&location=&location_id=&search_radius=,Company website lists different jobs compared to LinkedIn,https://www.linkedin.com/company/siete-family-foods,https://sietefoods.com/pages/careers,
SIMULATE,Aggregator,26,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7159,https://www.linkedin.com/jobs/search/?currentJobId=3614805342&f_C=20312518&geoId=92000000&originToLandingJobPostings=3614805342%2C2982327307%2C3482766109,,Missing jobs on JBoard,JBoard shows 1 job but 2 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=simulate&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/simulate,https://simulate.com/,
Manus Bio,Aggregator,27,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7155,https://www.linkedin.com/jobs/search/?currentJobId=3614621709&f_C=2604840&geoId=92000000&originToLandingJobPostings=3614621709%2C3501466591%2C3609165774%2C3620619053%2C3606047414%2C3502709570,,JBoard showing expired job,JBoard shows 11 jobs but only 4 active jobs on LinkedIn,https://altproteincareers.com/jobs?q=manus&category=&posted_at=&location=&location_id=&search_radius=,Only 3 active jobs on Company's website,https://www.linkedin.com/company/manus-bio,https://www.manusbio.com/careers/?wpv_sort_orderby=field-wpcf-location&wpv_sort_order=asc&wpv_sort_orderby_as=string&wpv_view_count=278,
Greenleaf Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7154,https://www.linkedin.com/jobs/search/?currentJobId=3510836934&f_C=11831747%2C3990549%2C8638688&geoId=92000000&originToLandingJobPostings=3510836934%2C3559014831%2C3599261835%2C3462621630%2C3579684152,,No jobs on JBoard but jobs listed on website,No jobs on JBoard but 3 job listed on LinkedIn,https://altproteincareers.com/jobs?q=greenleaf&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/greenleaffoods,https://www.greenleaffoods.com/,
Culture Biosciences,Aggregator,28,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7153,https://www.linkedin.com/jobs/search/?currentJobId=3606151414&f_C=18240703&geoId=92000000&originToLandingJobPostings=3606151414%2C3597860755%2C3597867306%2C3597248209%2C3597242659%2C3597243608%2C3618186427%2C3604500875%2C3616898932,,Works,,https://altproteincareers.com/jobs?q=culture+biosciences&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/culture-robotics,https://www.culturebiosciences.com/careers,
Coperion,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7152,https://www.linkedin.com/jobs/search/?currentJobId=3537827973&f_C=88921&geoId=92000000&originToLandingJobPostings=3537827973%2C3583967100%2C3522247635%2C3522078447%2C3584509961%2C3499258083%2C3558176302%2C3499257066%2C3593863004,,Missing jobs on JBoard,JBoard shows 32 jobs but 94 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=coperion&category=&posted_at=&location=&location_id=&search_radius=,,https://de.linkedin.com/company/coperion,https://www.coperion.com/en/careers/job-vacancies-worldwide,
Sabra Dipping Company,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7142,https://www.linkedin.com/jobs/search/?currentJobId=3618484258&f_C=289611&geoId=92000000&originToLandingJobPostings=3618484258%2C3594577997%2C3609046674%2C3603348196%2C3618480760%2C3607887365%2C3603137741%2C3601799168%2C3618487002,LinkedIn job listing link does not seem to work,Missing jobs on JBoard,JBoard shows 8 jobs but 9 jobs on Company's website,https://altproteincareers.com/jobs?q=sabra&category=&posted_at=&location=&location_id=&search_radius=,https://recruiting.ultipro.com/SAB1004SABRA/JobBoard/5fe72286-26ac-4807-812f-b10c35c69276/?q=&o=postedDateDesc,https://www.linkedin.com/company/sabra-dipping-company-llc,https://sabra.com/pages/career-1,
Shiru,Aggregator,29,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7015,https://www.linkedin.com/jobs/search/?currentJobId=3587996134&f_C=28413743&geoId=92000000,,Missing jobs on JBoard,No jobs on JBoard but 3 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=shiru&category=&posted_at=&location=&location_id=&search_radius=,https://jobs.lever.co/shiru,https://www.linkedin.com/company/shiru-inc,https://shiru.com/careers/,
TiNDLE Foods,Employer,,,,,,,,,,https://www.linkedin.com/company/tindle-foods,,
GenScript,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7137,https://www.linkedin.com/jobs/search/?currentJobId=3599984029&f_C=298797&geoId=92000000&originToLandingJobPostings=3599984029%2C3606659731%2C3569727131%2C3607689762%2C3509264094%2C3596823440%2C3434028453%2C3596823501%2C3607688930,,Missing jobs on JBoard,JBoard shows 5 jobs but 64 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=genscript&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/genscript-corporation,https://www.genscript.com/CareerOverview.html?src=footer#Job,
Zero Acre Farms,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7136,https://www.zeroacre.com/page/careers,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs on JBoard but 2 jobs listed on Company's website",https://altproteincareers.com/jobs?q=zero+acre&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""www.zeroacre.com"" instead of Zero Acre",https://www.zeroacre.com/page/careers,,
Tender Food,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7135,https://tenderfood.com/work/,,Missing jobs on JBoard,JBoard shows 1 job but 4 jobs listed on Company's website,https://altproteincareers.com/jobs?q=tender+food&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""tenderfood.com"" instead of Tender Food",https://tenderfood.com/work/,,
Prime Roots,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7132,https://www.linkedin.com/jobs/search/?currentJobId=3733328135&f_C=18385882&geoId=103644278&location=United%20States&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true,,Missing jobs on JBoard or expired ,JBoard shows 15 jobs but 30 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=prime+roots&category=&posted_at=&location=&location_id=&search_radius=,Company's website is different than LinkedIn and only lists 10 jobs,https://www.primeroots.com/pages/careers,https://apply.workable.com/primeroots/,
Perfect Day,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7131,https://boards.greenhouse.io/perfectday/,,Non-US jobs on JBoard,JBoard has 1 job but 4 jobs listed on website but all jobs are non-US based,https://altproteincareers.com/jobs?q=perfect+day&category=&posted_at=&location=&location_id=&search_radius=,,https://boards.greenhouse.io/perfectday/,https://perfectday.com/careers/,
Orbillion Bio,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7130,https://orbillion.com/careers/,,Works,Missing Open Application,https://altproteincareers.com/jobs?q=orbillion&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""orbillion.com"" instead of Orbillion",https://orbillion.com/careers/,,
Amy's Kitchen,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7127,https://www.linkedin.com/jobs/search/?currentJobId=3594644240&f_C=34358&geoId=92000000&originToLandingJobPostings=3594644240%2C3615865838%2C3622884380%2C3611885070%2C3609334679%2C3573212004%2C3563412784%2C3563485312%2C3538107919,,Works,,https://altproteincareers.com/jobs?q=amy%27s+kitchen&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/amy%27s-kitchen,https://www.amys.com/careers,
Bond Pet Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7014,https://www.linkedin.com/jobs/search/?currentJobId=3607433948&f_C=27143265&geoId=92000000&originToLandingJobPostings=3607433948,LinkedIn job listing link does not seem to work,No jobs  ,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=bond&category=&posted_at=&location=&location_id=&search_radius=,https://www.bondpets.com/careers-individual/,https://www.linkedin.com/company/bondpetfoods,https://www.bondpets.com/careers/,
Califia Farms,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7126,https://www.linkedin.com/jobs/search/?currentJobId=3613064247&f_C=1297000&geoId=92000000&keywords=califia%20farms&location=Worldwide&refresh=true,,Works but maybe missing jobs on JBoard,JBoard shows 10 jobs but 13 jobs listed on LinkedIn but 10 jobs on Company's website,https://altproteincareers.com/jobs?q=califia+farms&category=&posted_at=&location=&location_id=&search_radius=,https://careers-califiafarms.icims.com/jobs/search?ss=1&hashed=-435597315,https://www.linkedin.com/company/califia-farms,https://careers-califiafarms.icims.com/jobs/,
Miyoko's Creamery,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7018,https://www.linkedin.com/jobs/search/?currentJobId=3611705829&f_C=3645105&geoId=92000000&originToLandingJobPostings=3611705829%2C3590915447%2C3593229566,,No jobs,,,,https://www.linkedin.com/company/miyokoscreamery,https://miyokos.com/pages/careers,
Plenty,Employer,,,,,,,,,,,,
NRGene,Employer,,,,,,,,,,https://www.nrgene.com/,,
Equinom,Employer,,,,,,,,,,https://www.equi-nom.com/,,
Israeli Food Tech,Employer,,,,,,,,,,www.israelifoodtech.com,,
Eclipse Foods,Employer,,,,,,,,,,https://www.eclipsefoods.com/,,
Daiya Foods Inc.,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7028,https://boards.greenhouse.io/daiyafoodsinc,,Missing jobs on JBoard,JBoard shows 3 jobs but 14 jobs listed on Company's website,https://altproteincareers.com/jobs?q=daiya&category=&posted_at=&location=&location_id=&search_radius=,,https://boards.greenhouse.io/daiyafoodsinc,https://daiyafoods.com/,
Black Sheep Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7023,https://www.linkedin.com/jobs/search/?currentJobId=3620729835&f_C=30709652&geoId=92000000&originToLandingJobPostings=3620729835%2C3635144107,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=black+sheep&category=&posted_at=&location=&location_id=&search_radius=,,https://www.linkedin.com/company/blacksheepeat,https://blacksheepfoods.com/,
EVERY,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7020,https://theeverycompany.com/join,,Missing jobs on JBoard,JBoard shows 4 jobs but 7 jobs listed on Company's website,https://altproteincareers.com/jobs?q=every%20company&page=3,"Name on JBoard  Aggregator is ""theeverycompany.com"" instead of EVERY Company
Lots of other companies appear in APC search and not grouped by company",https://theeverycompany.com/join,,
Climax Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7149,https://boards.greenhouse.io/climaxfoods,,Works,Missing Open Application,https://altproteincareers.com/jobs?q=climax+foods&category=&posted_at=&location=&location_id=&search_radius=,,https://climax.bio/careers/,,
Beyond Meat,Aggregator,25,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/6942,https://www.linkedin.com/jobs/search/?currentJobId=3597862576&f_C=2634332&geoId=92000000&originToLandingJobPostings=3597862576%2C3608185623%2C3616830713%2C3618219221%2C3616189910%2C3618203192%2C3599990839%2C3606190633%2C3588986654,,Works,,https://altproteincareers.com/jobs?q=beyond+meat&category=&posted_at=&location=&location_id=&search_radius=,,https://www.beyondmeat.com/en-US/,,
AgBiome,Employer,,,,,,,,,,https://www.linkedin.com/company/agbiome,,
Synonym,Employer,,,,,,,,,,synonym.bio,,
Impossible Foods,Aggregator,26,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/6941,https://impossiblefoods.com/careers/job-listings,,Missing jobs on JBoard,JBoard shows 2 jobs but 8 jobs listed on Company's website,https://altproteincareers.com/jobs?q=impossible&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""impossiblefoods.com"" instead of Impossible Foods",https://impossiblefoods.com/careers/job-listings,,
Wildtype,Aggregator,27,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/6939,https://www.wildtypefoods.com/careers,,Works,,https://altproteincareers.com/jobs?q=wildtype&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""wildtypefoods.com"" instead of Wildtype Foods",https://www.wildtypefoods.com/careers#open-positions,,
Bright Green Partners,Aggregator,28,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7667,https://brightgreenpartners.com/join-us/employee/,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=bright+green+partners&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""brightgreenpartners.com"" instead of Bright Green Partners",https://brightgreenpartners.com/join-us/employee/,,
Blue Horizon,Aggregator,29,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/6956,https://jobs.bluehorizon.com/jobs,Blue horizon jobs link does not work,No jobs on JBoard but jobs listed on website,"JBoard says ""aggregator failed""
No jobs on JBoard but 48 jobs listed on Company's website",https://altproteincareers.com/jobs?q=blue+horizon&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""jobs.bluehorizon.com"" instead of Blue Horizon",https://bluehorizon.com/jobs/,,
Prose Foods,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/8285,https://jobs.bluehorizon.com/jobs/prose-foods,Blue horizon jobs link does not work,No jobs,"JBoard says ""aggregator failed""",https://altproteincareers.com/jobs?q=prose+foods&category=&posted_at=&location=&location_id=&search_radius=,,https://www.prosefoods.com/careers,,
Food Hack,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7144,https://jobs.foodhack.global/,,other search engine,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=food+hack&category=&posted_at=&location=&location_id=&search_radius=,"Name on JBoard  Aggregator is ""jobs.foodhack.global"" instead of Food Hack",https://jobs.foodhack.global/,,
LinkedIn,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/7362,https://www.linkedin.com/jobs/search/?currentJobId=3591991789&f_C=3500342&geoId=92000000&originToLandingJobPostings=3591991789%2C3590328043%2C3606648053%2C3630106221%2C3620809300,,other search engine,,,,,,
GEA,Aggregator,,11/9/23,https://app.jboard.io/board/4328/importer/auto-importer/12064,https://www.linkedin.com/jobs/search/?currentJobId=3711622699&f_C=389481%2C2559993%2C9306350&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3711622699%2C3730535590%2C3743986472%2C3718295758%2C3744362560%2C3626556858%2C3604580333%2C3644713461%2C3748895686,,Missing jobs on JBoard,No jobs on JBoard but 415 (48 US-based) jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=gea&category=&posted_at=&location=&location_id=&search_radius=,,https://www.gea.com/en/careers/apply-now/index.jsp,,